,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
67,Sunshine (My Girl),Wuki,Sunshine (My Girl),7AE0HaidGUaRBSmIZmJ8As,2bI6KAUqXeIXGAEEvup8ri,75,2023-09-01,131250,False,https://open.spotify.com/track/2bI6KAUqXeIXGAEEvup8ri,0.871,0.765,0,-4.602,1,0.116,0.00742,0.000196,0.0953,0.596,128.087
68,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),622NFw5Yk0OReMJ2XWcXUh,27NovPIUIRrOZoCHxABJwK,75,2021-07-23,212000,True,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995
69,Goosebumps - Remix,"Travis Scott, HVME",Goosebumps - Remix,3SdFuYwyWoq7kuaHdTDcyD,5uEYRdEIh9Bo4fpjDd4Na9,75,2021-01-15,162803,True,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917
70,Get It Sexyy,Sexyy Red,Get It Sexyy,3ahxhuhmGJiN0CWLOff9Sw,2MjXWroB9wlTG2kqv3avfS,75,2024-03-15,148552,True,https://open.spotify.com/track/2MjXWroB9wlTG2kqv3avfS,0.811,0.64,5,-5.63,0,0.274,0.0957,0.0,0.127,0.527,145.031
71,10:35,"Tiësto, Tate McRae",10:35,77wWx9sOCJiy0wcn0P44NO,6BePGk3eCan4FqaW2X8Qy3,75,2022-11-03,172253,False,https://open.spotify.com/track/6BePGk3eCan4FqaW2X8Qy3,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003
72,One in a Million,"Bebe Rexha, David Guetta",One in a Million,65L5VcKGKe6sOJIPNFc0Q1,3YfGTvsTAWGC2lgoDOikUz,74,2023-08-04,160530,False,https://open.spotify.com/track/3YfGTvsTAWGC2lgoDOikUz,0.454,0.931,11,-4.083,1,0.0321,0.238,0.000623,0.289,0.462,137.945
73,Tacata (Remix),"Tiagz, Fuerza Regida, El Alfa",Tacata (Remix),2GfGGlindjNS4kkZinqKdA,7LLBONqWyX3MoBvIVPu5fj,74,2023-12-22,156716,True,https://open.spotify.com/track/7LLBONqWyX3MoBvIVPu5fj,0.922,0.678,9,-6.016,1,0.146,0.377,0.00279,0.412,0.58,134.012
74,LET GO,Central Cee,LET GO,1QYPAEk2Ksj3WPv3mvoDnL,3zkyus0njMCL6phZmNNEeN,74,2022-12-15,174247,True,https://open.spotify.com/track/3zkyus0njMCL6phZmNNEeN,0.747,0.413,2,-11.197,0,0.488,0.848,0.0,0.17,0.481,146.05
75,Lie,NF,Perception,1KOmHyNLuOe5YrPhD3Juuf,07FkzikE6FuHIa8Ma7zJGc,74,2017-10-06,209213,False,https://open.spotify.com/track/07FkzikE6FuHIa8Ma7zJGc,0.749,0.659,5,-6.419,1,0.167,0.161,0.0,0.246,0.185,95.008
76,Rainfall (Praise You),Tom Santa,Rainfall (Praise You),4VanY5i4E59Mhz52qznJ95,1M8t1j3Kv2qp97bdq5q4Vl,74,2022-02-18,166570,False,https://open.spotify.com/track/1M8t1j3Kv2qp97bdq5q4Vl,0.767,0.862,5,-5.464,0,0.0606,0.14,0.0092,0.252,0.509,128.039
77,Tell Me Why - MEDUZA Remix,"Supermode, MEDUZA",Tell Me Why (MEDUZA Remix),6CTjQWx50yUs4wNu95cnlM,7jrMFjEq0t09f7m3HnnWXl,73,2022-09-02,171429,False,https://open.spotify.com/track/7jrMFjEq0t09f7m3HnnWXl,0.561,0.928,6,-5.812,0,0.0371,0.087,0.894,0.332,0.182,125.988
78,FTCU,Nicki Minaj,Pink Friday 2,2bYCNZfxZrTUv1CHXkz2d2,1a73gcEg6h6Re6hHXoVltJ,73,2023-12-08,172138,True,https://open.spotify.com/track/1a73gcEg6h6Re6hHXoVltJ,0.93,0.435,11,-6.694,1,0.202,0.0173,0.000287,0.117,0.227,144.978
